0	0000000
1	0000001
2	0000010
3	0000011
4	0000100
5	0000101
6	0000110
7	0000111
8	0001000
9	0001001
10	0001010
11	0001011
12	0001100
13	0001101
14	0001110
15	0001111
16	0010000
17	0010001
18	0010010
19	0010011
20	0010100
21	0010101
22	0010110
23	0010111
24	0011000
25	0011001
26	0011010
27	0011011
28	0011100
29	0011101
30	0011110
31	0011111
32	0100000
33	0100001
34	0100010
35	0100011
36	0100100
37	0100101
38	0100110
39	0100111
40	0101000
41	0101001
42	0101010
43	0101011
44	0101100
45	0101101
46	0101110
47	0101111
48	0110000
49	0110001
50	0110010
51	0110011
52	0110100
53	0110101
54	0110110
55	0110111
56	0111000
57	0111001
58	0111010
59	0111011
60	0111100
61	0111101
62	0111110
63	0111111
64	1000000
65	1000001
66	1000010
67	1000011
68	1000100
69	1000101
70	1000110
71	1000111
72	1001000
73	1001001
74	1001010
75	1001011
76	1001100
77	1001101
78	1001110
79	1001111
80	1010000
81	1010001
82	1010010
83	1010011
84	1010100
85	1010101
86	1010110
87	1010111
88	1011000
89	1011001
90	1011010
91	1011011
92	1011100
93	1011101
94	1011110
95	1011111
96	1100000
97	1100001
98	1100010
99	1100011
100	1100100
